,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
k3_L1_seed50,3,L1,50,0.17075631178599268,2.124890372852398,0.4753012413341119,"(np.float64(0.584684105211017), np.float64(0.3972791750768861), np.float64(0.4730987882371667))",23454.851435268134
k3_L1_seed55,3,L1,55,0.1944793458383559,1.9879976714562295,0.2556129263964047,"(np.float64(0.289842149535845), np.float64(0.1979255928224525), np.float64(0.23522334213596308))",22562.129349791783
k3_L1_seed60,3,L1,60,0.20571452818683175,1.715340238442856,0.45090650032001117,"(np.float64(0.4996953125993754), np.float64(0.36566570849773755), np.float64(0.42230106524325084))",22067.42213019427
k3_L1_seed65,3,L1,65,0.19449991624926274,1.988069846523637,0.25565448975445193,"(np.float64(0.29048588318425095), np.float64(0.19839518021930438), np.float64(0.23576695216738539))",22560.487683392334
k3_L2_seed20,3,L2,20,0.1959100836007311,1.9726668253060906,0.2726563724279091,"(np.float64(0.3352753071722591), np.float64(0.23302497991789878), np.float64(0.2749515476080993))",22476.840582078363
k3_L2_seed25,3,L2,25,0.1959100836007311,1.9726668253060906,0.2726563724279091,"(np.float64(0.3352753071722591), np.float64(0.23302497991789875), np.float64(0.2749515476080993))",22476.840582078363
k3_L2_seed30,3,L2,30,0.15599842019051272,2.1986443362606347,0.45757163615668495,"(np.float64(0.6486244627890796), np.float64(0.42235864803571727), np.float64(0.5115900492128398))",23127.809356712427
k3_L2_seed35,3,L2,35,0.18702018325927228,2.1932990947379554,0.2456462550674026,"(np.float64(0.33275465604813503), np.float64(0.22012809758749435), np.float64(0.2649699196351877))",22940.858746590297
k3_L2_seed40,3,L2,40,0.2083840947636116,1.6630894374946987,0.4781955144294196,"(np.float64(0.570440523076415), np.float64(0.4281416360382054), np.float64(0.48915221763819344))",21940.58663456447
k3_L2_seed45,3,L2,45,0.17075658948636996,2.2905915341112486,0.44952842110470587,"(np.float64(0.6167470683528783), np.float64(0.4059152446384163), np.float64(0.48959863671560894))",23531.628057354537
k3_L2_seed50,3,L2,50,0.15039579597447814,2.5062401008520347,0.053621170676180226,"(np.float64(0.0626975312015206), np.float64(0.03968494824383311), np.float64(0.04860496237691718))",24156.29638081814
k3_L2_seed55,3,L2,55,0.1759662560215618,2.046156083626982,0.46573063991233915,"(np.float64(0.5834892858357961), np.float64(0.4102891993627103), np.float64(0.481796206071957))",23353.550237221683
k3_L2_seed60,3,L2,60,0.1606181565795389,2.3720742168545055,0.13031145070689662,"(np.float64(0.2334810028396678), np.float64(0.1583571561672875), np.float64(0.18871764670637844))",23522.31603193231
k3_L2_seed65,3,L2,65,0.1759662560215618,2.046156083626982,0.46573063991233915,"(np.float64(0.5834892858357961), np.float64(0.4102891993627103), np.float64(0.481796206071957))",23353.550237221683
k3_cosine_seed20,3,cosine,20,0.20859487149067296,1.6756022162648356,0.4818995407274598,"(np.float64(0.5677650212237279), np.float64(0.42221200539871384), np.float64(0.4842884264172668))",21949.09451821202
k3_cosine_seed25,3,cosine,25,0.20859487149067296,1.6756022162648356,0.4818995407274598,"(np.float64(0.5677650212237277), np.float64(0.4222120053987138), np.float64(0.48428842641726677))",21949.09451821202
k3_cosine_seed30,3,cosine,30,0.20859487149067296,1.6756022162648356,0.4818995407274598,"(np.float64(0.5677650212237279), np.float64(0.42221200539871384), np.float64(0.4842884264172668))",21949.09451821202
k3_cosine_seed35,3,cosine,35,0.16036456027607707,2.2178326084529627,0.21388313515283786,"(np.float64(0.4391061197916906), np.float64(0.2992387246028433), np.float64(0.3559246231603851))",23448.893979762768
k3_cosine_seed40,3,cosine,40,0.16629516542553957,1.9420951333308833,0.15129037711766433,"(np.float64(0.3350215327192901), np.float64(0.26283098067433946), np.float64(0.2945677605060298))",23762.237428893448
k3_cosine_seed45,3,cosine,45,0.20859487149067296,1.6756022162648356,0.4818995407274598,"(np.float64(0.5677650212237279), np.float64(0.42221200539871384), np.float64(0.4842884264172668))",21949.09451821202
k3_cosine_seed50,3,cosine,50,0.20859487149067296,1.6756022162648356,0.4818995407274598,"(np.float64(0.5677650212237277), np.float64(0.4222120053987138), np.float64(0.48428842641726677))",21949.09451821202
k3_cosine_seed55,3,cosine,55,0.20859487149067296,1.6756022162648356,0.4818995407274598,"(np.float64(0.5677650212237277), np.float64(0.4222120053987138), np.float64(0.48428842641726677))",21949.09451821202
k3_cosine_seed60,3,cosine,60,0.1504736978282427,2.505188903428275,0.052963123262951474,"(np.float64(0.061950748413883844), np.float64(0.039217424877625355), np.float64(0.04802990393102341))",24156.612254513744
